time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-01T13:38:32.850Z,31.3148,76.9876,35.06,4.5,mb,,118,3.911,1.38,us,us10006acy,2016-10-19T04:52:06.040Z,"15 km WNW of Seoni, India",earthquake,8.8,6.9,0.164,11,reviewed,us,us
2015-11-29T02:47:52.820Z,31.373,78.7325,35,4.1,mb,,156,5.143,1.33,us,us100041zf,2016-02-25T22:33:00.040Z,"76 km NNE of Uttark?shi, India",earthquake,4.9,2,0.197,7,reviewed,us,us
2015-10-08T01:04:21.950Z,31.5958,76.9677,36.04,4.2,mb,,148,3.733,0.71,us,us10003l2c,2016-01-11T21:07:15.040Z,"8 km NE of Sundarnagar, India",earthquake,8.8,6.6,0.167,10,reviewed,us,us
2015-09-29T09:27:17.090Z,29.996,80.3737,35,4.6,mb,,126,4.895,1.05,us,us10003iqz,2015-12-28T23:08:49.040Z,"21 km NW of Dh?rchula, India",earthquake,8.8,1.5,0.083,43,reviewed,us,us
2015-09-03T17:57:47.570Z,27.3767,75.4937,14.2,4,mb,,101,6.541,0.76,us,us20003g1d,2022-08-01T03:27:19.431Z,"7 km W of R?ngas, India",earthquake,11.3,6.7,0.156,11,reviewed,us,us
2015-08-05T19:15:56.760Z,30.3652,80.3368,10,4.1,mb,,176,5.097,0.73,us,us10002y84,2015-10-30T02:47:51.040Z,"60 km NNW of Dh?rchula, India",earthquake,6.5,1.9,0.145,13,reviewed,us,us
2015-07-18T23:48:08.680Z,30.4476,79.1538,10,4.4,mb,,97,5.929,0.58,us,us20002ygc,2015-10-14T21:05:43.040Z,"24 km NE of Rudrapray?g, India",earthquake,9.5,1.9,0.09,36,reviewed,us,us
2015-04-01T21:23:54.400Z,30.3521,79.5107,10,4.9,mb,,31,6.238,0.52,us,us10001sx7,2022-07-28T05:43:36.289Z,"11 km SE of P?palkoti, India",earthquake,6.9,1.8,0.05,124,reviewed,us,us
2015-02-14T00:44:36.430Z,31.3449,80.3877,32.72,4.2,mb,,111,6.438,0.64,us,usc000trhi,2015-05-11T23:20:13.040Z,"117 km NE of Josh?math, India",earthquake,4.7,6,0.128,20,reviewed,us,us
2015-02-13T22:21:52.220Z,31.215,80.3855,29.91,4.1,mb,,145,6.488,0.71,us,usb000tpa2,2015-05-11T23:20:13.040Z,"107 km NE of Josh?math, India",earthquake,8.9,6.5,0.151,13,reviewed,us,us
2014-12-06T04:27:42.580Z,30.6685,80.0267,10,4.1,mb,,175,6.455,1.36,us,usc000t88g,2015-02-28T02:16:10.040Z,"western Xizang-India border region",earthquake,9.6,1.9,0.521,3,reviewed,us,us
2014-08-24T08:29:31.740Z,30.0384,79.9591,10,4.4,mb,,68,6.734,0.81,us,usb000s5ta,2014-11-22T02:06:32.000Z,"28 km NE of B?geshwar, India",earthquake,8.7,1.9,0.11,24,reviewed,us,us
2014-08-21T08:11:18.820Z,32.3289,76.4266,10,4.9,mb,,45,2.963,0.75,us,usb000s4v3,2022-07-26T22:54:51.614Z,"15 km NE of Dharamsala, India",earthquake,7.6,1.8,0.05,134,reviewed,us,us
2014-07-06T14:48:13.060Z,30.3227,80.3415,43.73,4.1,mb,,146,6.862,1.11,us,usc000rqyt,2014-10-04T19:59:57.000Z,"55 km NNW of Dh?rchula, India",earthquake,,6.9,0.213,7,reviewed,us,us
2014-07-03T11:35:00.300Z,30.2451,80.3384,35,4,mb,,167,6.9,1.3,us,usb000rvy7,2014-10-04T19:59:52.000Z,"western Xizang-India border region",earthquake,,2,0.211,6,reviewed,us,us
2014-06-17T17:31:10.950Z,32.3316,76.4467,33.51,4.2,mb,,146,2.977,1.49,us,usc000rgty,2014-09-12T15:47:52.000Z,"17 km NE of Dharamsala, India",earthquake,,6.3,0.121,25,reviewed,us,us
2014-02-21T06:46:47.260Z,30.0104,76.1747,16.02,4.6,mb,,146,4.391,0.82,us,usb000n1g8,2020-07-10T18:27:37.267Z,"18 km ESE of Dirba, India",earthquake,,4.9,0.223,6,reviewed,us,us
2013-11-06T14:53:14.040Z,31.726,76.1301,41.11,4.4,mb,,120,3.082,0.97,us,usb000ktgz,2022-07-26T01:06:56.194Z,"9 km NE of Gagret, India",earthquake,,6.3,0.112,,reviewed,us,us
2013-08-29T10:13:24.110Z,31.4785,76.2727,38.33,4.4,mb,,146,3.335,0.84,us,usb000jd2p,2022-07-25T21:22:14.603Z,"1 km NNE of Una, India",earthquake,,6.6,0.139,,reviewed,us,us
2013-07-13T17:49:36.640Z,32.383,76.535,25.5,4.4,mb,64,93,,1.23,us,usb000idsv,2022-07-25T18:21:57.364Z,"27 km NE of Dharamsala, India",earthquake,,5.8,,43,reviewed,us,us
2013-02-24T00:57:30.210Z,27.264,75.491,10,3.6,mb,12,310.6,,0.86,us,usc000fcdj,2022-07-24T18:53:12.593Z,"13 km SW of R?ngas, India",earthquake,,,,3,reviewed,us,us
2013-02-11T10:48:52.100Z,30.969,78.268,10,4.6,mb,105,84.6,,0.94,us,usc000f5fv,2022-07-24T17:54:13.828Z,"18 km NNE of Barkot, India",earthquake,,,,35,reviewed,us,us
2012-12-20T13:00:53.810Z,27.651,76.116,10,3.9,mb,10,307.6,,1.67,us,usp000jx6n,2021-10-20T18:00:58.672Z,"9 km SW of Kotputli, India",earthquake,,,,4,reviewed,us,us
2012-11-27T12:15:16.870Z,30.9,78.422,23.4,4.4,mb,73,51.7,,0.79,us,usp000jw4z,2015-03-24T01:34:25.224Z,"18 km N of Uttark?shi, India",earthquake,,9.4,,31,reviewed,us,us
2012-11-11T20:23:12.680Z,32.294,76.331,10,4,mb,21,116.7,,0.96,us,usp000jvdc,2014-11-07T01:49:20.803Z,"8 km N of Dharamsala, India",earthquake,,,,2,reviewed,us,us
2012-10-08T17:46:20.670Z,31.832,78.444,10,4.9,mb,61,51.3,,0.98,us,usp000jtrg,2022-05-03T15:51:41.767Z,"71 km ENE of Sar?han, India",earthquake,,,,16,reviewed,us,us
2012-10-03T10:49:26.470Z,32.296,76.254,10,4.2,mb,40,85.5,,1.3,us,usp000jtfr,2014-11-07T01:49:02.004Z,"10 km NW of Dharamsala, India",earthquake,,,,8,reviewed,us,us
